# ACTS Test Suite Generation: Tue Feb 20 16:54:55 CST 2018
#  * represents don't care value 

# Degree of interaction coverage: 5
# Number of parameters: 28
# Maximum number of values per parameter: 2
# Number of configurations: 202
# ****************************************************
EXT2FS_ENABLE_SWAPFS,_LINUX_EXT2_FS_H,__masix__,__i486__,HAS_LONG_LONG,_EXT2FS_EXT2FS_H,__GNU__,__sparc__,_EXT2_HAVE_ASM_SWAB_,__i586__,EXT2_CUSTOM_MEMORY_ROUTINES,__WATCOMC__,_EXT2FS_EXT2_IO_H,__mc68000__,WORDS_BIGENDIAN,_MSC_VER,__GNUC__,0,_EXT2_HAVE_ASM_FINDBIT_,ENABLE_SWAPFS,__linux__,_EXT2_USE_C_VERSIONS_,EXT2_DYNAMIC_REV,__KERNEL__,INCLUDE_INLINE_FUNCS,ENABLE_COMPRESSION,NO_INLINE_FUNCS,__i386__
false,false,false,true,false,true,false,true,true,true,false,true,false,false,true,false,true,false,true,false,false,false,true,true,false,false,true,false
false,false,false,false,true,true,true,true,false,true,true,true,true,false,false,false,false,false,false,true,false,true,true,false,false,false,true,false
false,false,false,false,false,false,false,false,true,false,false,false,false,true,true,true,true,true,true,false,true,false,false,true,true,true,false,true
false,false,true,true,true,true,true,true,true,false,false,false,false,false,false,false,false,false,true,true,true,true,true,true,true,false,false,false
false,true,true,false,true,true,true,false,false,true,true,false,true,true,true,true,false,true,false,false,false,false,false,false,true,false,false,true
false,false,false,true,false,true,true,false,false,false,false,true,true,false,true,false,true,true,false,false,false,true,true,false,false,true,false,true
false,true,false,false,false,true,true,true,true,true,true,true,false,true,true,true,true,false,true,true,true,false,false,false,false,true,false,false
false,true,true,true,true,false,true,true,false,false,true,true,false,true,false,false,true,false,true,false,true,true,false,false,false,false,true,true
true,false,true,false,true,false,true,true,true,true,false,true,false,true,true,false,true,false,false,false,false,true,false,true,true,true,true,true
false,true,false,true,false,false,true,false,true,true,true,false,true,false,true,false,false,false,false,true,false,false,false,true,false,true,true,true
false,false,false,false,false,false,true,true,false,false,false,false,false,false,false,true,false,false,true,false,false,true,false,true,false,true,false,false
true,true,true,true,true,true,false,false,false,false,true,true,true,false,false,true,false,true,false,true,false,false,true,false,false,false,false,false
true,false,true,false,true,true,false,true,true,false,false,true,true,false,true,true,true,true,false,false,true,true,true,false,false,true,false,false
true,true,false,true,false,true,false,true,true,false,true,false,true,true,false,false,false,true,false,false,true,true,false,true,true,false,true,false
true,false,false,false,false,true,false,false,false,true,false,false,true,true,false,false,true,true,false,true,true,false,true,true,true,true,true,false
true,false,true,true,true,false,false,false,true,true,false,false,false,true,true,true,false,true,true,true,false,false,false,true,true,false,true,false
true,true,true,false,true,false,false,false,false,true,false,false,true,true,false,true,true,false,true,true,false,true,true,true,true,true,true,false
true,false,false,true,false,false,false,true,false,true,true,true,false,false,false,false,false,false,true,true,true,false,true,false,true,true,false,true
false,true,false,false,false,false,false,true,true,false,false,true,true,true,false,false,false,false,false,false,true,true,true,false,true,false,true,true
true,false,false,true,true,true,true,true,true,true,true,false,false,true,false,true,true,false,false,false,false,false,false,false,true,true,true,true
true,true,true,true,false,true,true,false,true,false,false,false,true,false,false,true,true,true,true,false,false,true,false,true,false,true,false,true
true,true,false,false,true,false,true,false,false,false,false,true,false,false,true,false,false,true,true,true,false,true,true,true,true,false,false,true
true,false,true,false,false,false,true,false,false,false,true,true,false,true,true,true,false,false,true,true,true,false,true,true,false,false,true,true
false,true,false,true,true,true,false,false,false,true,false,true,false,true,false,true,true,true,false,false,true,false,true,false,true,true,true,false
false,true,true,true,false,true,false,true,true,true,true,true,true,false,true,false,true,true,false,false,false,false,false,true,true,false,false,true
false,false,false,false,true,false,false,true,true,true,true,false,true,false,true,true,true,true,true,false,false,true,false,false,false,false,false,false
false,false,true,false,false,false,false,false,false,true,true,false,false,false,true,false,true,true,true,true,false,false,true,false,false,true,false,true
true,true,true,false,false,true,true,true,false,false,true,false,false,false,true,false,true,false,false,true,true,false,true,true,true,true,false,true
true,true,false,true,false,false,true,true,false,true,false,false,false,true,true,true,true,false,true,false,true,true,true,false,true,false,false,false
false,false,false,false,true,true,false,true,false,false,false,false,false,true,true,false,false,false,false,false,false,true,true,false,true,false,false,true
false,false,true,true,true,false,false,true,false,true,true,true,true,true,false,true,false,false,false,false,true,false,false,true,false,true,true,false
false,false,false,false,false,true,true,false,true,false,true,true,true,true,false,false,true,true,true,true,false,true,true,true,false,false,true,true
true,false,true,true,true,false,true,false,true,false,true,false,true,true,false,false,false,true,false,false,false,true,true,true,false,false,true,false
false,false,true,false,true,true,false,false,true,false,false,true,true,false,false,false,false,false,false,true,false,false,false,true,true,true,true,true
false,true,false,true,false,false,false,false,true,false,true,true,false,true,true,true,true,true,false,true,true,true,true,true,false,false,true,false
true,true,true,false,false,false,false,true,true,false,false,false,false,false,true,true,false,true,true,false,true,false,false,false,false,false,true,false
false,true,false,true,true,true,true,true,false,true,false,false,true,false,false,false,false,true,true,false,true,false,false,true,false,true,false,false
false,false,true,false,false,true,true,true,false,true,false,true,false,true,false,false,false,true,true,false,true,false,true,false,false,false,false,false
true,false,false,true,true,true,false,false,true,false,false,true,true,true,true,false,false,false,true,true,true,false,true,false,false,true,false,false
false,true,false,false,true,false,true,false,true,true,true,true,true,false,false,true,true,false,true,true,true,false,false,true,false,true,true,false
true,false,true,true,false,true,false,true,false,false,false,false,true,true,true,true,false,false,true,true,false,true,true,true,true,false,false,true
true,true,false,false,true,false,false,true,false,true,true,false,false,false,false,false,true,false,false,false,true,true,false,false,true,true,true,true
false,false,true,true,false,true,true,false,false,true,true,true,false,false,true,true,false,false,true,true,true,true,false,false,true,false,true,true
true,true,true,false,false,false,true,false,true,true,true,true,false,false,false,true,false,true,false,true,true,false,false,false,false,true,true,true
true,false,true,false,true,true,true,false,true,true,true,true,true,false,true,false,false,true,true,false,false,true,false,false,true,true,false,false
true,true,false,false,false,true,false,false,true,true,true,false,true,true,true,true,true,false,false,false,false,false,true,false,false,false,true,true
false,true,true,false,true,true,false,true,false,true,false,false,true,false,true,true,true,false,false,true,true,false,true,true,true,true,false,false
true,false,false,false,false,true,true,true,false,true,true,true,true,false,true,true,true,true,true,true,false,false,false,true,false,false,false,true
true,true,true,true,false,false,false,true,false,true,false,true,true,false,false,false,true,false,true,true,false,true,false,false,false,true,true,false
true,false,false,true,false,false,false,false,false,false,true,false,true,false,false,true,true,false,false,false,true,false,true,false,false,true,true,true
false,true,true,false,true,false,true,true,true,false,false,false,true,true,true,true,false,false,false,true,true,true,false,true,true,false,false,false
true,true,false,false,true,false,true,true,true,false,true,false,false,true,true,true,false,true,true,true,false,true,false,false,true,true,false,false
false,false,true,true,true,false,false,false,true,false,false,true,false,false,true,true,true,false,false,true,false,true,true,false,false,true,true,true
false,false,false,true,true,false,true,true,true,true,false,true,true,true,true,false,true,true,true,true,true,true,false,true,true,false,true,false
false,false,false,true,true,true,true,false,true,true,false,false,false,false,false,true,false,true,false,true,false,true,true,true,true,true,true,false
false,false,false,true,false,false,false,false,false,true,false,false,true,true,true,false,false,true,false,false,false,true,false,true,true,false,true,true
true,true,false,true,true,true,true,true,false,false,true,true,false,false,false,true,false,false,false,false,false,true,true,true,true,false,true,true
false,false,false,false,false,false,true,true,false,true,true,false,false,true,false,false,true,true,false,false,true,false,false,true,false,false,true,true
false,true,true,true,false,true,false,true,false,false,false,true,false,false,false,false,true,true,true,true,true,false,true,false,true,false,true,true
true,false,false,true,true,true,false,false,false,true,true,false,true,false,false,false,false,false,true,false,false,false,false,true,true,false,false,false
true,true,false,false,true,false,false,false,false,false,true,false,false,true,false,false,true,true,true,true,true,false,false,false,false,false,false,false
false,true,true,false,false,false,true,false,false,false,true,false,false,true,false,false,false,false,false,true,false,true,true,true,true,true,true,false
false,false,false,true,false,false,false,true,false,false,true,true,true,false,true,false,false,false,true,false,false,false,false,false,true,false,false,false
true,false,true,true,true,false,true,true,false,false,false,false,false,true,false,false,true,true,false,true,true,false,true,false,true,true,false,false
true,true,true,false,false,true,true,false,true,true,false,false,false,true,true,false,true,true,false,true,true,true,false,false,false,false,true,true
true,false,true,false,true,false,false,true,true,false,true,true,false,false,false,false,true,true,false,false,false,false,true,true,false,false,false,true
false,true,false,true,false,true,true,true,true,true,false,true,true,false,false,true,false,true,false,false,true,true,true,false,false,true,false,true
false,true,false,true,false,false,true,false,true,false,false,false,false,false,false,false,true,false,true,true,false,false,false,false,true,true,false,true
false,true,false,false,true,true,true,true,false,false,false,true,true,true,true,true,true,false,true,false,false,false,true,false,true,true,true,true
true,false,true,false,true,true,false,true,false,true,true,true,false,true,true,false,false,true,true,false,true,true,false,true,true,false,true,false
false,false,true,false,false,false,false,false,true,true,false,true,true,true,false,true,false,true,true,true,true,true,true,false,false,false,false,false
true,true,true,true,true,true,true,false,false,true,false,false,false,true,true,false,true,false,false,true,false,false,true,true,false,true,false,true
false,false,false,true,true,true,false,false,false,false,true,false,false,false,true,true,false,true,true,false,true,false,true,false,false,false,false,true
true,true,false,true,true,false,true,false,false,true,true,true,false,true,true,false,true,true,false,true,false,false,false,false,true,false,true,false
true,false,false,false,true,true,true,false,false,false,false,false,true,true,true,true,false,false,false,true,true,true,false,false,false,false,true,false
false,true,true,true,false,true,false,true,false,true,true,false,false,true,false,true,true,true,true,false,false,true,false,false,true,true,false,false
false,true,true,true,true,false,false,true,true,false,true,false,true,false,true,false,true,false,true,true,false,true,true,true,false,false,false,false
true,true,false,false,true,true,false,false,true,true,false,true,true,true,false,false,false,false,true,false,false,true,false,false,false,true,false,true
true,true,true,true,true,true,true,true,true,false,false,true,false,true,false,true,false,true,true,false,true,false,false,false,false,false,false,true
false,false,true,false,true,true,false,true,true,false,true,false,true,false,false,true,true,true,false,true,true,false,false,false,true,false,true,false
false,false,false,true,false,true,true,true,true,true,false,false,true,false,true,false,true,false,false,false,true,true,false,false,true,true,true,false
true,false,false,false,false,false,true,true,true,false,false,true,false,true,true,false,true,false,false,true,false,false,false,true,false,false,false,false
false,false,true,false,false,false,false,false,true,false,false,false,true,false,false,false,true,false,true,false,true,false,true,true,false,true,true,false
false,true,true,false,true,false,false,true,false,false,true,true,false,false,true,true,false,true,false,false,false,true,false,true,false,true,true,true
true,false,false,false,false,false,true,false,true,false,true,true,true,false,true,true,false,false,false,false,true,true,false,true,true,true,false,true
false,true,false,true,true,false,false,false,true,true,true,false,false,false,true,false,false,false,false,true,true,false,true,false,true,false,false,false
false,false,true,false,false,true,true,true,false,false,true,false,true,true,false,true,true,false,true,true,true,false,false,true,false,true,false,true
false,false,false,false,false,true,false,false,false,false,false,true,false,false,false,true,true,false,false,true,false,true,false,false,true,false,false,true
false,true,true,true,false,false,true,false,false,false,true,true,true,true,false,false,false,true,true,false,true,false,true,true,true,false,false,true
true,false,true,true,false,false,true,true,false,true,false,false,false,false,false,false,false,true,false,false,false,true,true,true,true,true,true,false
false,false,true,false,true,false,true,false,false,false,true,false,false,false,true,false,false,true,false,false,true,false,true,true,false,true,false,false
true,false,true,false,false,false,false,true,true,true,false,false,false,false,false,true,true,false,true,true,false,true,true,true,true,false,true,true
false,false,false,true,false,false,false,true,true,true,false,true,false,true,false,true,false,true,true,false,false,false,false,true,false,true,true,false
true,false,false,false,true,false,false,false,false,true,false,true,false,false,false,true,false,true,false,false,true,false,true,true,true,true,false,true
true,false,false,true,false,true,false,false,true,true,true,false,false,false,false,false,false,true,false,true,false,false,true,false,false,false,true,true
false,false,true,true,true,false,true,false,true,false,false,true,false,true,false,false,true,false,true,false,false,false,true,false,true,true,true,false
true,true,false,true,false,false,true,true,false,false,false,true,true,false,true,true,false,true,true,true,true,false,true,true,false,true,true,false
false,false,true,true,false,true,false,false,true,false,true,false,true,true,true,false,false,true,true,false,true,false,true,true,true,true,true,true
true,false,false,false,false,true,false,false,true,true,true,false,true,true,false,true,false,false,true,true,true,false,true,true,true,false,false,false
true,true,true,false,true,true,true,true,false,false,false,false,true,false,false,false,true,false,true,false,false,true,true,false,false,false,false,true
true,false,true,false,true,true,true,false,false,true,false,true,true,true,false,true,true,true,false,true,true,true,true,false,false,false,true,true
true,true,true,true,false,false,false,true,false,false,false,true,true,true,true,false,true,false,false,false,true,true,false,true,true,true,false,true
false,true,false,false,true,true,false,true,true,true,true,true,true,true,true,false,false,true,false,true,false,false,true,true,true,true,false,false
true,true,true,true,false,true,false,false,true,true,false,true,true,false,true,true,true,false,true,false,true,false,true,true,false,false,true,false
false,true,true,false,false,true,true,true,true,false,true,false,false,true,true,false,false,true,true,false,false,true,false,false,false,false,false,true
true,true,false,true,true,true,true,false,false,true,true,true,true,false,false,false,true,false,false,true,true,true,true,true,false,false,false,true
false,true,true,false,true,true,false,false,false,true,true,true,false,true,true,false,true,false,true,true,false,true,false,true,true,false,true,true
true,true,true,true,true,false,false,true,true,false,true,false,false,true,false,true,true,true,false,false,true,true,true,false,true,true,true,false
false,true,false,true,false,true,false,true,true,false,false,false,false,true,false,true,false,false,false,true,false,true,false,true,false,false,true,true
false,true,false,false,false,false,false,true,false,true,false,true,false,true,true,true,false,false,false,false,true,false,false,false,true,true,true,false
true,true,true,false,false,false,true,true,false,false,true,false,true,false,false,false,false,false,true,true,false,false,false,false,true,true,true,false
true,true,true,true,false,false,true,false,false,false,true,false,false,false,true,true,true,true,false,false,false,false,false,true,true,true,false,false
true,false,false,false,true,true,false,true,true,false,false,true,false,true,true,false,true,true,true,true,true,true,true,false,true,true,true,true
false,false,true,false,false,true,false,true,true,false,false,false,false,false,true,true,false,true,false,false,false,false,false,true,false,true,true,false
false,false,false,true,false,false,true,true,true,false,true,true,false,false,true,true,true,true,true,false,true,true,true,false,false,false,false,true
false,true,true,true,false,true,true,false,false,true,false,true,true,true,true,false,false,false,true,true,false,false,true,false,true,true,false,false
true,true,false,false,true,true,false,false,true,true,false,false,true,false,true,true,true,true,true,false,false,true,true,true,false,true,true,false
false,false,true,true,false,true,true,true,false,true,false,true,true,false,false,false,true,false,false,true,true,false,false,false,false,false,false,true
true,true,false,false,false,true,true,true,false,false,false,false,true,true,true,true,false,true,false,true,false,true,true,true,false,true,false,false
true,true,false,false,false,false,false,false,true,true,false,false,true,false,true,false,true,true,true,false,false,false,false,false,true,true,false,true
true,false,false,true,true,false,true,false,false,false,true,false,false,true,true,false,false,false,true,false,false,true,false,true,false,true,true,true
false,false,false,true,true,false,false,false,false,true,true,true,true,true,false,true,false,false,true,true,false,true,true,false,false,true,false,true
true,true,true,false,true,false,true,false,true,true,false,false,true,false,false,true,false,true,true,true,true,true,true,false,true,true,true,true
true,false,true,false,true,true,false,true,false,false,true,true,false,false,false,false,false,false,true,true,true,true,true,false,true,true,true,false
true,false,true,true,false,true,false,false,true,true,false,true,false,true,true,true,false,true,false,false,true,true,false,false,false,false,false,false
false,false,false,false,true,true,true,true,false,true,true,false,false,true,false,true,false,false,true,true,true,true,false,true,false,true,true,false
false,true,false,false,true,false,false,false,false,true,false,true,true,false,false,true,true,false,true,false,false,false,false,false,false,false,false,false
true,false,true,false,true,false,true,true,true,true,true,true,true,true,true,false,false,false,false,false,false,false,true,false,false,false,true,false
false,false,false,true,false,false,false,true,false,false,true,false,true,false,false,true,true,false,false,true,false,false,false,true,true,false,true,false
true,true,true,false,false,true,false,false,true,true,true,false,false,false,true,true,false,false,false,false,false,true,false,true,false,false,false,false
false,false,false,true,true,true,false,false,true,false,true,true,true,true,true,true,true,true,false,false,false,false,false,false,false,false,true,true
true,true,true,true,true,false,true,true,true,false,true,true,true,false,false,true,true,true,true,false,false,false,true,true,false,true,false,false
false,false,true,false,false,false,false,true,false,true,true,false,true,false,true,true,false,false,true,false,true,false,true,false,true,true,true,true
true,false,false,false,false,false,false,true,true,false,false,false,true,true,false,true,true,false,true,false,false,false,true,true,false,true,false,false
false,true,false,true,false,true,false,false,false,false,true,false,false,false,true,false,true,false,true,true,true,true,true,true,false,true,false,true
false,true,true,true,true,false,true,true,false,true,false,false,true,true,false,false,true,true,false,false,false,true,true,false,false,true,true,false
true,false,true,false,true,true,false,true,true,true,false,true,true,true,false,true,true,true,false,true,false,false,false,false,true,false,false,true
true,true,false,false,true,true,true,false,true,false,false,true,false,false,false,true,false,false,false,true,true,false,true,true,true,false,true,false
false,false,true,true,false,false,true,false,false,false,false,true,true,true,false,true,false,true,false,false,true,true,false,true,true,true,false,false
false,true,false,false,false,false,true,false,true,true,true,true,false,false,false,false,true,true,false,false,false,true,false,true,false,true,false,false
true,true,false,true,true,true,false,true,false,true,true,false,false,false,true,false,false,true,true,true,false,false,false,false,true,false,false,true
true,true,false,false,true,false,true,true,true,true,false,true,true,false,true,true,false,false,false,true,true,false,false,true,true,false,false,true
false,false,true,false,false,false,false,true,false,false,true,false,true,false,true,true,true,true,false,true,true,true,false,true,false,false,false,true
false,false,true,false,true,false,false,true,true,true,true,false,true,true,false,true,false,true,true,false,true,false,true,false,true,false,true,false
true,false,false,true,true,false,true,false,true,true,false,false,false,false,false,false,false,false,true,true,true,true,false,false,false,false,true,false
false,true,false,true,true,true,true,false,true,true,false,true,true,true,true,true,true,true,true,true,false,true,true,true,true,false,false,true
true,true,false,false,false,false,false,false,true,false,false,true,false,false,false,false,true,true,true,true,true,true,true,true,false,false,false,true
false,true,true,true,false,true,false,false,false,true,false,false,false,true,false,false,true,true,true,true,false,false,false,true,false,false,true,false
true,true,true,false,false,false,false,false,false,false,true,true,true,true,true,false,true,false,false,false,true,true,true,false,false,false,true,true
true,false,true,true,true,false,false,true,false,false,false,true,true,false,false,true,true,false,true,true,true,false,false,true,true,true,false,true
true,true,false,false,false,true,true,false,false,true,false,true,false,true,false,false,false,false,false,false,false,false,false,true,true,false,true,true
true,false,true,true,true,false,false,true,true,false,false,false,false,true,false,true,true,true,true,false,true,false,false,true,false,true,false,true
true,false,true,false,true,true,true,false,false,true,true,true,false,true,false,true,false,false,false,false,false,true,true,false,true,true,false,true
false,false,true,true,true,true,false,true,true,false,true,true,true,false,true,false,true,true,false,false,false,true,true,false,true,false,true,false
true,true,false,false,false,true,false,false,true,false,false,false,true,true,true,true,false,false,false,true,false,false,true,false,true,true,true,true
false,true,false,false,true,false,false,true,false,false,false,false,true,true,true,false,false,true,false,true,false,false,true,true,false,false,true,true
true,false,true,true,false,true,true,false,false,false,true,true,false,true,true,true,true,false,false,true,true,true,false,true,true,false,true,false
false,true,true,true,false,true,true,false,true,false,true,false,false,false,true,true,false,false,false,false,true,true,false,false,false,true,true,true
true,true,false,true,false,false,true,true,true,true,false,false,true,false,true,true,true,false,false,false,false,true,true,false,false,false,false,true
false,true,true,true,true,true,false,false,true,true,true,true,false,true,true,true,true,false,true,true,true,true,true,true,true,true,false,false
false,true,false,false,true,true,false,false,false,true,true,false,false,false,false,false,true,false,true,true,false,false,false,false,true,true,true,false
false,true,true,false,true,true,false,false,true,false,false,false,true,true,true,false,true,true,false,false,true,false,true,true,true,false,false,true
true,true,true,true,true,true,true,true,true,true,true,false,false,true,false,true,true,true,false,true,true,false,false,false,true,false,false,false
false,false,true,false,true,true,true,true,true,true,false,false,false,false,true,false,true,false,true,true,true,true,true,false,false,true,true,true
false,false,true,true,false,false,true,false,false,true,true,false,false,false,true,true,true,true,false,true,true,false,false,true,false,false,false,false
false,true,false,false,false,true,true,true,true,true,false,true,false,false,false,false,true,false,true,true,false,false,false,true,false,true,true,true
false,false,false,true,false,false,false,false,true,false,false,true,true,false,false,false,false,true,true,true,false,true,false,false,true,false,true,false
false,true,true,true,false,false,false,true,true,true,true,true,true,true,false,true,false,false,false,true,false,false,false,false,false,false,false,false
true,true,false,false,true,true,true,true,true,true,false,false,false,true,false,false,true,false,false,false,false,false,true,true,false,true,false,false
false,false,true,true,false,true,true,true,false,true,true,false,true,true,false,true,false,true,false,false,false,true,true,false,true,false,true,true
true,false,false,false,false,true,false,false,false,false,false,true,true,false,true,true,true,false,true,true,true,true,false,true,false,false,false,false
false,true,true,true,false,false,true,false,false,false,true,false,false,true,true,true,true,false,false,true,true,false,false,false,true,false,true,true
true,false,true,false,true,true,false,false,false,true,false,false,false,true,true,true,true,false,true,false,false,false,false,true,false,false,true,true
