# ACTS Test Suite Generation: Sun Mar 04 17:27:30 CST 2018
#  * represents don't care value 

# Degree of interaction coverage: 3
# Number of parameters: 143
# Maximum number of values per parameter: 2
# Number of configurations: 52
# ****************************************************
APLOG_MAX_LOGLEVEL,sk_OPENSSL_STRING_value,RLIMIT_DATA,SSL_PRIVATE_H,APACHE_HTTP_CONNECTION_H,OPENSSL_NO_SRP,SSL_SESSION_CACHE_TIMEOUT,HAVE_SSL_CONF_CMD,HAVE_TIMES,SERVER_CONFIG_FILE,DEFAULT_TIMEOUT,APR_HAS_POSIXSEM_SERIALIZE,APR_CHARSET_EBCDIC,DOXYGEN,AP_MODULE_DECLARE_STATIC,DEFAULT_KEEPALIVE_TIMEOUT,AP_CORE_DECLARE_NONSTD,OPENSSL_VERSION_NUMBER>=0x10000000,SATISFY_ALL,APR_HAS_THREADS,APACHE_HTTPD_H,APR_HAS_SYSVSEM_SERIALIZE,AP_DEFAULT_INDEX,GPROF,APR_HAS_PROC_PTHREAD_SERIALIZE,RLIMIT_VMEM,DEFAULT_PIDLOG,AP_DEBUG,HAVE_INITGROUPS,HAVE_TLS_NPN,HAVE_TLSEXT,DEFAULT_SCOREBOARD,AP_FILTER_H,SSL_CTX_set_ecdh_auto,APACHE_UTIL_EBCDIC_H,APACHE_SCOREBOARD_H,AP_CORE_DECLARE,APACHE_HTTP_PROTOCOL_H,DEFAULT_LISTENBACKLOG,APREQ_DECLARE_STATIC,PTRUE,HAVE_GETGRNAM,DYNAMIC_MODULE_LIMIT,RLIMIT_AS,HAVE_VALGRIND,DEFAULT_OCSP_TIMEOUT,DEFAULT_RENEG_BUFFER_SIZE,TLSEXT_ECPOINTFORMAT_uncompressed,OPENSSL_FIPS,SUEXEC_BIN,AP_EXPR_H,NUL,HAVE_ENGINE_INIT,AP_DECLARE,OPENSSL_NO_COMP,SATISFY_ANY,tlsext_tick_md,AP_ENABLE_EXCEPTION_HOOK,OPENSSL_NPN_NEGOTIATED,APACHE_HTTP_LOG_H,sk_OPENSSL_STRING_pop,HAVE_GETPWNAM,AP_DECLARE_EXPORT,APR_HAS_OTHER_CHILD,AP_MODULE_DECLARE,RLIMIT_CPU,APR_HAS_MMAP,APACHE_HTTP_CORE_H,SSL_DECLARE_STATIC,AP_DEBUG_NO_ALLOC_POISON,OPENSSL_NO_TLSEXT,APR_HAS_FCNTL_SERIALIZE,OPENSSL_NO_SHA256,sk_OPENSSL_STRING_num,AP_DECLARE_DATA,HAVE_ECC,DEFAULT_LIMIT_REQUEST_FIELDSIZE,HAVE_TLSV1_X,DEFAULT_ERRORLOG,APACHE_ARG_MAX,APACHE_HTTP_MAIN_H,DEFAULT_LOGLEVEL,APACHE_UTIL_SCRIPT_H,DEFAULT_PATH,DEFAULT_LIMIT_REQUEST_FIELDS,HAVE_FIPS,HAVE_TLS_SESSION_TICKETS,AP_HAVE_DESIGNATED_INITIALIZER,AP_TYPES_CONFIG_FILE,APACHE_HTTP_REQUEST_H,SSL_CTRL_SET_CURRENT_CERT,SSL_CTX_set_tlsext_ticket_key_cb,TRUE,HAVE_OPENSSL_ENGINE_H,AP_HAVE_C99,OPENSSL_NO_EC,RAND_MAX,OPENSSL_NO_NEXTPROTONEG,OPENSSL_NO_OCSP,APACHE_MPM_COMMON_H,APACHE_MOD_AUTH_H,AP_DECLARE_STATIC,SSL_CONF_FLAG_FILE,AP_SOCACHE_H,SSL_set_tlsext_host_name,OPENSSL_VERSION_NUMBER>=0x10001000,HAVE_SYSLOG,DEFAULT_LIMIT_REQUEST_LINE,SSL_CTX_set_tlsext_status_cb,TCP_NODELAY,UTIL_MUTEX_H,PFALSE,RLIMIT_NPROC,OS2,AP_DECLARE_NONSTD,AP_MODULE_DECLARE_NONSTD,NETWARE,APACHE_HTTP_CONFIG_H,SSL_DECLARE_EXPORT,HTTPD_ROOT,UNSET,DEFAULT_OCSP_MAX_SKEW,DEFAULT_ACCESS_FNAME,AP_MPM_H,AP_CONFIG_H,APREQ_DECLARE_EXPORT,SSL_OP_NO_TLSv1_2,DEFAULT_KEEPALIVE,UCHAR,APR_POOL_DEBUG,APACHE_HTTP_VHOST_H,AP_MODULE_DECLARE_DATA,HAVE_OCSP_STAPLING,BOOL,WIN32,DOCUMENT_LOCATION,HAVE_SRP,SSL_CTRL_SET_TLS_EXT_SRP_USERNAME_CB,APR_HAS_FLOCK_SERIALIZE,LOG_PRIMASK,FALSE,DEBUG_SIGSTOP,SATISFY_NOSPEC
true,true,true,true,false,false,false,false,true,true,false,false,false,false,true,true,true,true,true,true,true,true,false,false,false,false,true,true,false,false,true,true,false,false,false,false,false,false,true,true,true,true,false,false,false,false,true,true,true,true,false,false,true,true,false,false,true,true,true,true,true,true,false,false,false,true,true,false,true,false,false,true,false,false,false,false,true,true,false,false,true,true,true,true,false,true,true,false,false,false,false,true,true,false,false,false,true,false,false,true,false,true,true,true,false,true,true,false,false,false,true,true,true,false,false,false,true,false,false,true,true,true,true,false,false,true,true,true,false,true,true,false,false,false,false,true,true,false,false,true,false,true,true
false,false,false,false,false,false,true,true,true,true,true,true,true,true,false,false,false,false,false,false,false,false,true,true,true,true,false,false,true,true,false,false,true,true,true,true,true,true,false,false,false,false,true,true,true,true,false,false,false,false,true,true,false,false,true,true,false,false,false,false,false,false,true,true,true,false,false,true,false,true,true,false,true,true,true,true,false,false,true,true,false,false,false,false,true,false,false,true,true,true,true,false,false,true,true,true,false,true,true,false,true,false,false,false,true,false,false,true,true,true,false,false,false,true,true,true,false,true,true,false,false,false,false,true,true,false,false,false,true,false,false,true,true,true,true,false,false,true,true,false,true,false,false
false,false,false,true,true,true,true,false,true,false,false,false,false,true,false,true,false,true,true,false,true,false,true,false,true,false,false,true,false,true,true,false,true,false,false,true,false,true,true,false,true,false,false,true,false,true,false,true,true,false,true,false,false,true,false,true,false,true,true,false,true,false,true,true,false,true,false,false,false,false,false,false,true,false,true,true,true,true,true,true,true,true,false,false,true,true,false,false,false,true,false,true,false,false,false,false,false,false,true,false,true,false,true,true,true,false,true,false,false,true,true,true,true,true,false,true,false,false,true,false,false,true,false,true,true,false,true,true,false,false,true,true,false,false,false,true,false,true,true,false,true,false,false
true,true,true,false,true,true,false,true,false,true,true,false,true,false,false,false,true,false,false,true,false,true,false,true,false,true,true,false,true,false,false,true,false,true,true,false,true,false,true,true,false,true,true,false,false,false,false,false,true,false,false,true,true,false,true,false,false,true,false,true,false,true,true,true,true,false,true,true,true,true,true,true,false,false,true,false,false,false,false,false,false,true,false,true,false,false,true,true,true,false,false,false,true,true,false,true,true,true,false,false,false,true,false,false,true,true,false,true,true,false,true,false,false,false,true,false,true,true,false,true,true,false,true,false,false,true,false,false,true,true,false,false,true,true,true,false,true,true,false,true,false,false,true
true,true,false,false,false,false,true,true,true,true,true,true,false,false,true,false,true,true,true,true,true,false,false,false,false,true,false,true,true,true,false,true,true,false,true,true,false,true,false,false,false,false,false,false,true,false,true,false,false,true,false,false,false,true,false,true,true,false,true,false,false,true,false,false,true,false,true,true,true,true,true,true,true,true,false,false,true,false,true,false,true,false,true,false,false,true,false,true,false,true,true,true,false,false,true,true,false,false,false,true,false,false,true,false,false,true,false,true,false,false,false,true,false,true,true,false,true,false,true,true,true,false,false,true,false,true,true,false,true,false,false,true,false,true,false,true,false,false,true,false,true,true,true
false,false,false,false,false,false,false,false,false,false,true,true,true,false,true,true,true,true,false,false,false,true,true,false,true,false,true,true,false,false,true,true,false,true,false,true,true,false,false,true,true,true,true,true,true,true,true,false,false,true,true,true,true,false,false,false,false,false,false,true,true,false,false,false,false,true,false,false,false,true,false,false,false,true,false,true,false,true,true,true,true,false,true,true,true,false,true,false,true,false,true,false,true,true,true,false,true,true,false,true,true,true,false,true,false,false,true,false,true,true,false,false,true,false,false,true,false,true,false,false,false,true,true,false,true,false,false,true,false,true,true,false,true,false,true,false,false,false,false,true,false,true,false
false,false,true,true,true,true,true,true,true,true,false,true,false,false,true,false,false,false,false,true,false,false,true,false,false,false,true,false,false,false,false,false,false,true,false,false,true,true,false,true,true,true,false,true,true,false,true,true,false,true,true,false,false,false,true,true,true,true,false,false,false,false,false,false,true,false,true,false,true,false,false,true,false,true,true,true,true,true,false,true,false,true,true,true,true,true,false,false,true,false,true,false,false,false,true,true,false,false,true,false,false,true,false,true,true,true,false,false,true,true,true,false,true,true,false,false,true,true,false,true,true,true,false,true,false,false,true,false,true,false,false,false,false,true,false,false,true,false,false,false,true,true,false
true,true,true,true,true,true,true,false,false,false,true,true,false,true,false,true,false,false,false,false,true,false,false,true,true,true,true,false,false,false,true,true,true,false,true,false,false,false,false,false,false,true,true,false,true,true,false,true,false,true,false,true,true,true,true,false,true,false,true,true,true,true,false,true,false,true,false,true,false,false,true,false,true,false,false,false,false,false,false,false,false,false,true,false,true,false,true,true,false,true,false,true,true,false,true,false,true,true,true,true,true,false,true,false,false,false,true,true,false,true,false,true,false,false,false,true,false,true,true,false,false,false,false,false,false,true,false,true,true,true,true,true,true,false,true,true,true,true,false,true,false,false,true
false,false,false,true,false,true,false,true,true,false,true,false,true,false,true,false,false,false,true,false,true,true,false,true,true,true,true,true,true,true,true,false,false,false,false,false,false,true,true,false,false,false,false,true,false,false,false,false,true,true,false,true,true,false,true,false,true,true,false,true,false,true,true,false,false,true,false,true,true,false,false,false,true,true,false,false,false,true,false,true,false,false,false,true,false,true,false,false,true,false,true,false,true,true,false,true,false,false,true,true,true,false,true,false,false,true,true,false,true,false,false,true,true,true,true,true,false,false,true,true,false,false,true,true,true,false,true,true,false,true,false,false,true,true,false,true,true,true,true,false,false,false,true
false,false,true,false,true,false,false,false,false,true,false,true,true,true,true,true,false,true,true,true,true,false,true,true,false,true,false,false,true,true,false,false,true,false,false,false,true,false,true,true,true,false,true,false,false,true,true,true,true,false,false,false,false,true,false,false,true,false,true,true,false,false,true,true,true,true,false,false,false,true,true,true,false,true,true,true,false,false,false,false,true,true,false,false,false,false,true,false,false,false,false,true,false,true,false,false,true,true,false,true,false,true,false,true,true,false,false,true,false,false,true,false,false,false,true,true,true,false,false,false,true,true,true,true,true,true,false,false,false,false,true,true,true,true,true,false,false,false,true,false,true,true,false
true,false,false,false,false,true,false,false,true,true,false,false,true,true,false,true,true,false,true,false,false,true,true,true,false,false,false,true,false,false,true,false,true,true,true,false,true,true,false,true,false,true,false,false,true,false,false,true,false,false,true,false,true,false,true,true,true,true,true,false,true,true,false,false,true,false,true,true,false,false,true,false,true,false,false,true,true,true,true,false,true,true,false,true,false,false,true,true,false,true,true,false,false,true,false,false,true,true,false,false,true,false,false,false,false,false,true,true,false,false,true,true,true,true,false,false,true,true,false,true,false,true,true,false,true,false,false,false,false,true,false,true,false,false,false,false,true,false,true,true,false,true,true
true,true,true,true,false,false,false,false,true,false,true,true,true,true,false,false,false,true,false,false,false,true,true,true,true,false,false,false,true,true,false,true,false,false,true,true,false,false,true,true,true,false,true,true,false,false,true,true,true,false,true,false,false,true,true,true,false,true,false,false,true,false,false,false,false,false,true,true,true,true,false,true,false,false,true,false,true,false,false,true,false,false,true,false,false,true,false,true,true,true,false,true,true,false,true,false,false,true,true,false,false,true,true,true,false,true,true,false,true,true,false,false,false,false,true,false,false,false,false,false,true,false,true,false,false,true,false,true,true,true,true,false,false,false,true,true,false,true,true,true,true,false,false
false,false,false,false,true,false,true,false,true,false,true,false,false,true,true,true,true,false,false,true,false,true,false,false,false,true,false,false,true,true,true,true,true,true,false,true,true,false,true,false,false,true,true,true,false,true,false,false,true,false,false,true,false,true,false,true,false,false,true,false,true,true,true,false,false,false,true,false,true,false,false,true,false,false,true,true,false,true,true,false,false,false,true,true,true,true,false,true,true,false,true,true,false,true,false,true,true,false,true,true,false,false,false,false,true,true,false,true,false,false,true,true,true,false,false,false,false,true,true,false,false,true,false,false,true,true,true,true,true,false,true,false,false,false,true,false,true,true,false,true,false,false,true
true,true,true,true,false,false,true,true,false,false,false,false,false,false,true,true,false,false,true,true,true,true,true,true,true,false,false,false,true,true,true,false,false,true,true,true,true,true,false,false,true,false,false,false,true,true,true,false,false,false,false,true,true,false,false,false,false,true,false,true,false,true,true,true,true,true,false,false,false,true,true,true,true,false,false,false,true,false,true,true,true,true,true,false,true,false,true,false,false,true,false,false,true,false,false,true,false,false,false,false,false,true,true,true,true,false,false,false,true,true,false,false,true,true,true,false,false,false,false,true,true,true,false,false,false,false,true,false,false,false,true,true,false,false,false,true,true,true,false,true,false,true,false
false,true,false,true,true,true,true,true,false,true,false,false,true,true,true,false,true,true,false,false,true,true,false,false,true,false,true,false,false,false,false,true,false,true,false,true,false,true,true,false,false,false,true,false,true,true,true,true,true,false,true,false,true,false,true,true,false,false,true,true,true,false,true,true,true,false,false,true,true,false,true,false,false,true,false,false,true,true,true,false,true,true,false,false,false,true,false,true,false,false,false,false,false,true,true,true,false,false,false,true,true,false,false,true,true,true,true,true,true,true,false,false,false,false,true,true,true,false,true,false,true,false,false,true,false,true,false,true,false,true,false,false,true,true,false,false,false,false,false,false,true,true,true
true,false,false,false,false,true,true,false,false,true,false,true,false,false,false,false,true,true,true,false,true,true,true,false,true,true,true,false,true,false,false,false,true,false,false,true,false,false,false,true,true,true,false,true,false,true,true,false,true,true,true,true,true,true,false,true,false,false,false,false,true,false,true,true,false,false,true,false,false,true,true,false,true,false,true,false,false,false,false,true,false,true,false,true,true,false,true,true,true,true,true,true,true,false,true,true,false,true,false,false,true,true,true,false,false,false,false,false,false,false,true,true,false,true,false,true,true,true,true,true,true,false,true,true,true,false,true,false,true,false,false,false,false,true,true,true,false,false,false,false,true,false,false
false,true,true,true,true,true,false,true,true,false,false,true,true,false,false,true,false,true,true,false,false,false,true,false,false,true,true,true,true,false,true,false,false,true,true,true,false,true,true,true,false,false,true,false,true,false,false,false,false,true,false,true,false,true,false,false,false,false,true,false,true,false,false,true,false,false,false,false,true,true,false,false,true,true,true,true,true,true,true,true,false,false,false,false,true,false,true,false,true,true,false,false,true,false,true,false,true,false,true,true,false,true,false,false,true,true,false,true,false,true,true,true,false,false,true,false,true,false,true,true,false,false,false,false,true,true,true,true,false,true,false,true,true,true,false,false,true,false,true,true,true,true,false
true,false,false,false,false,true,false,false,false,true,true,false,false,true,false,true,true,false,false,true,true,false,true,false,true,false,true,true,false,true,false,true,false,true,true,false,false,false,false,false,true,false,false,true,false,false,false,true,false,true,true,false,true,false,true,false,true,false,false,true,false,true,true,true,false,true,true,false,true,true,false,true,true,true,true,true,true,false,true,false,true,false,false,true,true,true,false,true,false,false,true,true,true,true,true,false,true,false,true,false,true,true,true,true,true,false,true,false,true,false,false,false,false,true,false,true,false,true,true,false,false,true,true,true,false,true,false,false,true,false,true,true,true,false,true,false,false,true,true,false,false,false,true
true,true,true,false,true,true,true,false,false,true,false,true,false,false,true,false,true,false,false,true,true,false,false,true,true,true,false,true,false,true,true,false,true,false,true,false,true,true,true,true,true,true,false,false,false,false,false,true,false,true,true,true,false,false,false,true,false,true,false,false,false,false,false,false,true,true,false,true,false,false,true,false,false,true,false,true,true,false,false,true,false,false,true,false,false,true,true,false,true,false,false,true,false,true,false,false,true,true,true,false,true,false,true,true,false,false,false,false,true,true,true,true,true,false,true,false,false,true,false,false,false,false,true,true,true,true,true,true,false,false,false,true,true,false,true,true,false,false,true,false,true,false,true
false,true,false,false,true,false,true,true,true,false,true,false,true,false,false,false,false,true,false,true,false,false,true,true,false,false,true,true,false,true,true,true,true,false,false,false,true,true,false,true,false,true,true,true,false,false,true,true,true,false,false,true,true,true,true,false,true,true,false,false,true,false,true,true,false,true,true,false,false,false,true,false,false,false,false,false,false,true,true,false,true,true,true,false,false,false,false,true,true,true,true,false,false,false,false,true,false,true,false,true,true,true,true,true,false,true,true,true,false,false,false,false,false,true,false,false,true,false,false,true,true,false,false,true,false,false,true,false,true,false,true,false,true,true,true,true,false,true,true,true,true,true,false
false,true,false,true,true,false,true,true,true,true,true,false,false,false,true,true,true,true,false,true,false,true,false,true,false,true,false,true,false,false,false,false,true,true,true,false,true,true,true,false,true,false,true,true,true,true,true,false,true,true,true,false,true,false,true,false,false,true,false,true,false,true,false,true,false,true,false,true,false,false,false,true,true,false,true,false,false,true,false,true,true,false,false,true,true,false,true,false,false,false,true,false,false,false,true,false,false,false,true,false,true,false,false,false,false,false,true,true,false,true,true,true,true,false,true,true,true,true,true,true,false,true,false,false,false,false,false,true,true,true,false,false,false,true,false,true,true,true,false,false,true,false,true
true,false,true,false,true,false,true,false,false,true,false,false,true,true,false,false,true,false,true,false,false,false,false,false,true,false,false,true,true,true,false,true,false,false,false,true,false,true,false,true,false,false,false,false,true,true,false,false,false,false,false,true,false,true,true,true,true,true,true,true,false,true,true,false,true,true,true,false,true,true,false,true,false,false,true,true,false,true,true,true,false,true,true,true,true,false,true,false,false,true,false,false,true,true,true,true,true,true,false,false,true,false,true,true,false,true,false,false,true,false,false,false,true,false,false,true,true,false,true,false,true,true,true,false,true,false,false,true,false,true,false,true,false,false,false,false,true,false,false,true,false,false,false
false,true,true,true,false,true,false,true,true,true,false,true,false,true,true,false,false,true,true,false,true,false,true,false,false,false,true,false,true,false,true,true,true,false,true,false,true,false,true,false,false,true,true,true,true,true,false,false,true,false,true,false,false,false,false,true,true,false,false,true,false,true,false,false,true,true,false,true,false,false,true,true,false,true,false,false,true,true,true,false,true,true,false,true,true,true,false,false,true,true,false,true,true,true,false,true,false,true,false,false,false,true,false,false,true,false,true,false,true,false,false,true,true,true,false,true,false,true,false,true,false,true,true,false,true,false,false,false,true,false,true,false,true,true,true,true,false,false,true,true,false,true,true
