"RLIMIT_DATA","SSL_ENGINE","APACHE_HTTP_CONNECTION_H","AP_DECLARE_DATA","SSL_EXPERIMENTAL_PROXY_IGNORE","SSL_SESSION_CACHE_TIMEOUT","DEFAULT_LIMIT_REQUEST_FIELDSIZE","YY_NULL","X509_V_ERR_CERT_UNTRUSTED","DEFAULT_ERRORLOG","APACHE_ARG_MAX","APACHE_HTTP_MAIN_H","DEFAULT_LOGLEVEL","SERVER_CONFIG_FILE","SSL_DBM_FILE_SUFFIX_DIR","DEFAULT_TIMEOUT","APR_CHARSET_EBCDIC","DOXYGEN","SSL_LIBRARY_VERSION","APACHE_UTIL_SCRIPT_H","DEFAULT_PATH","SHARED_MODULE","DEFAULT_LIMIT_REQUEST_FIELDS","DEFAULT_KEEPALIVE_TIMEOUT","AP_CORE_DECLARE_NONSTD","AP_HAVE_DESIGNATED_INITIALIZER","NULL","AP_TYPES_CONFIG_FILE","APR_HAS_THREADS","APACHE_HTTP_REQUEST_H","TRUE","APACHE_HTTPD_H","AP_DEFAULT_INDEX","GPROF","AP_HAVE_RELIABLE_PIPED_LOGS","SSL_DBM_FILE_SUFFIX_PAG","RAND_MAX","MIN","OPENSSL_VERSION_NUMBER","RLIMIT_VMEM","TABLE_PRIVATE","AP_DEBUG","SSL_EXPERIMENTAL_ENGINE_IGNORE","SSL_EXPERIMENTAL","AP_FILTER_H","DBM_SUFFIX","DB_SHMEM","SSL_get_state","HAVE_SYSLOG","DEFAULT_LIMIT_REQUEST_LINE","SSL_EXPERIMENTAL_PROXY","AP_CORE_DECLARE","DEFAULT_RFC1413","APACHE_HTTP_PROTOCOL_H","PFALSE","RLIMIT_NPROC","OS2","AP_DECLARE_NONSTD","PTRUE","DYNAMIC_MODULE_LIMIT","AP_MODULE_DECLARE_NONSTD","RLIMIT_AS","NETWARE","APACHE_HTTP_CONFIG_H","HTTPD_ROOT","UNSET","YYDEBUG","DEFAULT_ACCESS_FNAME","SSL_LIBRARY_VERSION>=0x00907000","DEFAULT_CONTENT_TYPE","SUEXEC_BIN","NUL","DEFAULT_KEEPALIVE","UCHAR","CORE_PRIVATE","DB_LOCK","SSL_EXPERIMENTAL_ENGINE","AP_DECLARE","SSL_EXPERIMENTAL_PERDIRCA_IGNORE","AP_MODULE_DECLARE_DATA","APACHE_HTTP_LOG_H","BOOL","AP_MODULE_DECLARE","WIN32","BEOS","RLIMIT_CPU","APR_HAS_MMAP","DOCUMENT_LOCATION","LOG_PRIMASK","FALSE","APACHE_HTTP_CORE_H","AP_MMN_H","SSL_EXPERIMENTAL_PERDIRCA","DEBUG_SIGSTOP"
"false","false","true","true","false","false","true","false","true","true","true","false","true","false","true","true","false","true","true","false","false","false","false","true","false","true","true","false","false","true","true","true","false","false","true","true","true","true","false","true","true","true","true","false","false","false","false","true","true","false","true","true","false","true","true","false","true","true","false","false","true","true","false","false","false","false","false","false","false","false","false","true","true","true","false","true","false","false","false","false","true","false","true","false","true","true","true","false","false","false","false","true","true","false"
"false","false","false","false","true","true","true","true","false","false","false","true","false","false","true","true","false","false","true","true","false","false","false","true","false","false","true","false","false","false","false","true","true","false","true","false","false","true","false","false","false","false","false","false","true","false","false","true","true","false","true","true","true","true","false","true","true","false","true","true","true","true","false","false","true","true","true","true","true","false","true","true","true","true","true","false","false","false","false","true","true","true","false","false","true","true","false","true","true","true","false","true","false","true"
"false","true","true","false","true","true","true","true","true","true","false","false","false","false","true","false","false","false","true","true","true","false","true","true","true","false","true","false","false","true","false","true","true","true","true","true","false","true","false","false","true","true","false","true","false","true","false","true","true","false","false","false","true","false","true","false","false","true","false","true","false","true","false","false","false","true","false","true","false","false","false","true","true","false","true","true","true","false","true","false","true","false","true","false","false","false","true","true","true","true","true","true","false","false"
"true","false","true","false","true","true","true","true","true","true","false","true","false","true","true","true","false","true","true","false","true","true","false","true","true","true","false","false","true","false","false","true","true","false","false","false","true","true","false","false","false","false","true","false","false","true","false","true","true","true","false","false","true","false","false","false","false","true","false","false","true","false","false","true","true","false","true","false","true","true","false","true","true","true","false","true","true","false","true","true","false","true","true","false","false","true","false","true","false","false","true","true","false","false"
"true","true","false","true","false","true","false","true","false","true","false","true","false","true","false","true","false","true","false","true","false","true","false","true","false","true","false","true","false","true","false","true","false","true","false","true","false","true","false","true","false","true","false","true","false","true","false","true","false","true","false","true","false","true","false","true","false","true","false","true","false","true","false","true","false","true","false","true","false","true","false","true","false","true","false","true","false","true","false","true","false","true","false","true","false","true","false","true","false","true","false","true","false","true"
"false","false","true","true","true","true","false","true","false","true","false","true","true","false","true","false","true","false","true","false","true","true","true","false","false","false","false","false","true","false","true","false","false","false","true","true","false","true","false","true","false","true","false","true","false","false","true","false","true","true","false","false","true","true","true","false","false","false","false","true","true","false","true","true","false","false","false","true","true","true","false","true","true","true","false","false","false","false","true","false","false","false","false","true","true","true","true","false","false","false","true","true","false","true"
"true","false","false","true","true","true","true","false","false","true","true","false","false","false","true","false","false","false","false","true","true","true","false","true","false","false","true","false","true","true","true","true","false","true","false","true","true","false","false","false","false","false","true","false","true","true","false","true","true","true","false","true","false","false","true","false","true","false","true","true","false","false","true","false","true","true","false","false","true","true","false","false","true","true","false","true","false","true","true","true","false","true","true","true","false","true","false","false","true","false","false","true","false","false"
"false","true","false","true","true","false","false","true","true","false","true","true","true","true","false","false","true","false","false","false","false","false","false","true","true","false","false","false","false","true","true","true","true","true","true","true","false","true","false","false","false","true","true","true","false","false","false","false","true","true","false","true","false","false","true","true","true","true","true","false","true","true","false","false","false","false","true","false","true","false","true","true","false","false","true","false","false","true","false","false","false","false","false","true","false","false","false","false","false","true","false","false","true","true"
"true","true","true","false","true","true","false","false","false","false","false","true","false","true","true","true","true","true","true","false","true","true","true","true","true","false","false","true","false","false","false","true","false","true","true","true","false","false","true","false","false","false","false","false","false","true","true","false","true","true","false","true","true","true","true","false","true","true","true","false","false","false","true","false","false","false","true","false","false","false","true","false","true","true","false","true","false","false","true","false","true","true","false","true","true","true","false","false","false","false","true","true","true","false"
"true","false","true","true","false","false","true","true","false","false","false","false","false","false","true","true","true","true","true","false","true","true","false","false","true","false","false","true","false","false","true","true","true","false","false","false","true","false","false","false","false","true","false","false","false","false","false","true","true","true","true","false","false","true","true","true","true","true","false","false","true","true","false","true","true","false","false","true","false","true","true","true","true","false","false","false","true","true","true","false","false","false","true","true","true","false","false","false","true","true","false","true","false","false"
"true","true","true","false","false","false","true","false","false","false","true","false","false","true","false","false","false","true","true","true","false","true","false","true","false","true","true","false","true","false","true","false","true","true","true","false","true","true","false","true","false","true","true","true","false","true","true","true","true","true","false","true","false","false","true","true","false","true","false","true","false","false","true","false","true","true","true","true","false","false","true","true","true","false","false","false","false","true","true","true","false","false","true","false","true","false","true","true","true","false","true","false","true","true"
"false","true","true","true","true","true","false","false","true","false","true","true","true","false","false","false","false","true","true","true","true","true","true","true","false","false","false","true","false","false","false","true","false","false","false","false","true","true","true","true","true","false","true","false","false","false","false","false","false","true","false","true","false","false","true","false","false","true","false","true","true","true","false","true","true","true","true","true","true","true","false","true","false","false","true","true","false","false","true","false","false","false","false","false","true","true","true","false","false","true","true","false","false","true"
"true","false","true","true","true","false","true","true","false","true","false","false","false","false","false","true","true","false","true","false","true","false","false","false","false","false","true","false","true","true","false","true","true","true","true","true","false","false","true","false","false","true","false","false","true","false","true","false","true","true","false","false","false","true","false","true","true","true","true","true","true","false","false","true","true","false","false","false","false","false","false","false","true","true","true","false","false","false","true","true","false","false","true","false","false","false","true","true","false","false","true","false","true","false"
"false","true","true","false","false","false","true","false","false","true","false","false","false","false","true","false","true","true","true","false","true","false","true","false","true","false","true","false","false","true","false","true","false","false","false","false","true","true","true","false","true","true","false","true","true","true","true","false","false","false","false","true","true","false","true","false","true","true","false","false","false","false","false","true","true","true","true","true","false","true","false","false","false","true","true","false","false","true","true","true","false","true","true","false","false","true","false","false","false","true","true","true","true","true"
"true","false","false","true","true","true","true","false","false","false","true","true","false","true","false","false","true","false","true","false","true","true","true","false","true","false","true","true","false","false","true","true","false","true","true","false","false","true","false","true","true","false","false","true","true","false","true","true","true","false","true","true","true","false","false","true","true","true","false","true","false","false","true","false","false","true","true","false","false","true","false","false","true","false","false","true","true","false","false","false","false","true","false","true","false","false","true","false","true","true","false","true","false","false"
"false","true","true","true","true","true","false","false","true","true","true","true","true","true","true","false","false","false","false","false","false","false","false","false","false","true","false","false","true","true","false","true","false","false","false","true","true","false","false","true","true","false","false","true","true","false","true","false","false","false","false","true","true","false","false","true","true","false","false","true","false","false","false","true","false","false","true","false","false","false","true","false","true","false","true","true","false","true","true","false","false","false","true","true","true","true","true","true","true","true","true","false","false","true"
"true","false","true","true","false","false","true","true","false","false","true","true","false","false","true","true","false","false","true","true","false","false","true","true","false","false","true","true","false","false","true","true","false","false","true","true","false","false","true","true","false","false","true","true","false","false","true","true","false","false","true","true","false","false","true","true","false","false","true","true","false","false","true","true","false","false","true","true","false","false","true","true","false","false","true","true","false","false","true","true","false","false","true","true","false","false","true","true","false","false","true","true","false","false"
"false","true","true","false","true","false","false","true","false","true","true","false","true","false","false","true","false","true","true","false","true","false","false","true","true","false","false","true","false","true","true","false","false","true","true","false","true","false","false","true","true","false","false","true","false","true","true","false","false","true","true","false","true","false","false","true","true","false","false","true","false","true","true","false","false","true","true","false","true","false","false","true","true","false","false","true","false","true","true","false","false","true","true","false","true","false","false","true","true","false","false","true","false","true"
"true","false","true","false","true","false","true","false","true","false","true","true","false","true","false","true","false","true","false","false","false","false","true","false","false","true","false","true","true","true","true","true","false","false","false","true","true","false","false","true","false","true","false","false","true","false","true","false","false","true","false","false","true","true","true","true","false","false","true","false","false","true","false","true","true","true","true","false","true","false","true","true","true","false","true","true","true","true","false","true","true","false","false","false","true","true","true","false","false","true","true","true","false","false"
"false","false","true","true","false","false","false","false","false","false","true","true","true","true","false","false","false","true","true","true","false","false","false","false","true","false","true","false","true","false","false","true","true","true","false","false","true","true","true","true","true","false","false","true","false","true","false","true","true","false","false","true","true","true","false","true","false","true","true","true","false","false","false","true","true","true","false","false","false","false","false","false","true","true","true","true","true","false","true","false","true","false","false","true","true","false","true","true","false","false","true","true","false","true"
"false","true","true","true","true","false","false","true","true","false","false","true","false","true","true","true","false","false","true","false","false","true","false","false","true","true","true","false","false","true","true","false","false","true","false","false","true","true","false","true","true","false","false","false","false","false","true","true","false","false","false","true","false","false","true","false","false","false","false","false","true","false","true","true","true","false","false","true","true","false","true","false","true","true","true","true","true","true","true","true","false","true","true","false","true","true","false","true","true","false","false","false","true","true"
"true","true","true","false","false","false","false","false","false","true","true","true","true","true","false","true","true","false","false","true","true","false","false","true","false","false","true","true","true","false","false","true","false","true","false","true","true","false","false","false","true","true","true","false","true","true","true","true","true","false","true","false","true","false","false","true","false","false","false","false","true","true","false","true","false","false","false","false","false","true","false","true","true","true","true","false","false","false","true","true","true","true","true","true","true","false","false","false","true","true","true","false","false","false"
"true","false","false","true","true","true","false","false","false","false","true","false","true","true","false","true","false","false","true","true","false","true","false","true","true","true","true","true","true","false","false","true","false","false","true","false","false","true","true","true","false","true","false","true","true","false","false","false","true","false","false","false","true","false","true","false","true","false","false","false","false","true","false","false","true","true","true","false","true","true","true","false","false","false","false","false","true","true","true","false","false","false","true","true","false","true","true","true","false","false","true","true","false","false"
"false","false","false","true","false","false","false","false","false","true","true","false","true","false","false","false","true","true","true","true","false","true","true","true","false","true","false","false","false","true","false","true","false","false","false","true","true","false","true","false","true","true","false","false","true","false","true","true","true","true","true","true","true","false","false","false","false","true","true","true","false","true","false","false","false","false","true","true","true","false","true","false","true","false","true","true","false","true","false","true","true","false","false","false","true","false","false","false","true","false","false","false","false","false"
"false","false","false","false","true","true","true","false","true","false","true","false","true","true","true","true","true","false","false","true","true","true","false","false","false","false","true","true","false","true","true","true","false","true","false","true","false","true","false","true","true","true","false","true","false","true","false","false","false","false","false","true","false","false","false","false","true","true","false","true","false","false","true","true","false","true","true","true","false","false","true","true","true","false","false","false","true","false","false","true","true","false","true","false","false","false","false","false","false","true","true","true","false","true"
"true","true","false","false","false","false","false","true","false","true","true","true","true","true","false","false","false","false","true","true","false","false","true","false","false","true","false","true","true","true","false","false","true","false","false","true","false","false","false","false","false","false","false","false","false","true","false","true","true","false","false","false","true","false","true","false","true","true","true","true","true","true","true","true","true","true","true","true","false","true","false","false","false","true","false","false","true","true","true","false","false","true","false","false","true","true","false","true","true","false","true","true","true","true"
"false","true","true","false","true","true","false","true","true","false","false","false","true","true","true","true","true","true","false","true","true","false","false","false","false","false","true","false","true","false","true","true","true","true","true","true","false","false","false","true","true","false","false","true","true","false","true","true","false","true","true","false","false","false","true","false","false","true","true","false","false","false","false","false","false","false","true","true","false","true","false","true","true","false","false","true","false","true","true","false","true","true","false","true","false","true","false","true","false","true","false","false","true","false"
"true","true","false","false","true","true","false","true","true","false","true","false","true","false","true","false","true","true","false","false","false","true","true","false","true","true","true","true","false","true","false","true","false","false","false","false","false","true","false","true","false","true","true","false","true","true","true","true","true","false","true","false","false","false","true","true","false","false","true","true","false","false","true","false","false","true","false","false","true","false","true","false","true","true","true","false","false","false","true","true","true","false","true","true","true","false","false","false","true","true","true","false","false","true"
"true","true","false","true","false","false","false","true","true","true","true","false","true","false","false","true","true","false","true","true","false","true","true","true","false","true","false","true","false","false","true","false","false","true","true","false","true","false","false","false","false","true","false","false","true","false","true","true","false","false","false","false","false","false","true","true","false","true","true","false","true","false","false","false","false","true","false","true","false","true","false","false","true","false","true","true","true","true","true","false","true","false","true","true","false","false","false","false","false","true","true","true","false","true"
"true","true","true","true","true","false","true","true","false","false","false","true","true","false","false","true","true","false","false","true","false","true","false","true","true","true","false","true","false","false","true","true","true","false","false","false","true","true","false","false","true","true","true","true","true","false","false","false","false","true","true","true","true","true","false","true","false","false","true","true","true","false","true","false","true","true","true","true","false","false","false","false","false","false","false","true","false","false","true","false","false","false","false","false","true","false","false","true","false","false","false","false","false","false"
"false","true","true","true","true","true","true","true","false","false","true","false","false","false","true","true","true","true","true","true","false","true","true","true","true","true","false","false","false","true","false","false","true","true","true","true","true","true","false","true","false","false","false","false","true","false","true","true","false","false","false","false","false","true","false","false","true","false","true","true","false","true","false","true","true","false","true","false","false","true","false","true","true","false","true","false","true","true","true","true","false","false","false","false","true","false","false","true","false","true","false","true","true","false"
"true","true","true","false","false","false","false","false","true","false","true","false","true","false","true","false","true","true","true","true","false","true","false","false","false","false","true","true","true","false","true","true","true","true","true","true","true","true","true","true","false","false","true","true","true","false","false","false","true","false","true","false","false","false","false","false","false","false","false","true","true","false","false","true","false","true","false","false","true","true","true","true","true","true","false","true","false","true","false","true","false","true","false","true","true","true","true","false","false","false","false","true","true","true"
"false","true","true","true","true","true","false","true","true","true","false","false","true","true","false","true","false","true","true","false","true","false","false","false","false","false","false","false","false","false","true","true","false","false","false","true","false","true","true","true","true","false","false","false","true","false","false","false","false","true","false","false","false","true","true","true","true","true","true","false","true","true","true","true","false","true","false","true","false","false","false","true","false","false","true","true","true","true","false","true","true","false","true","true","true","false","true","true","false","false","true","true","true","true"
"true","false","false","false","false","true","false","true","false","true","true","true","true","false","false","false","true","false","true","true","true","false","false","false","false","false","true","false","true","true","true","true","false","false","false","true","false","true","true","false","true","false","false","true","true","false","true","true","false","true","false","false","true","true","true","false","false","false","false","false","false","false","false","false","true","false","true","true","false","false","true","false","false","true","false","false","true","true","false","true","false","true","true","true","true","false","true","false","true","true","false","false","true","false"
"false","false","false","false","false","true","true","false","false","true","true","true","true","true","true","true","true","false","true","true","false","true","true","false","true","true","true","false","true","true","false","true","true","true","true","true","true","false","true","false","false","true","false","false","false","false","false","false","false","false","true","true","true","false","false","true","false","false","false","false","false","false","true","true","true","false","false","false","true","false","false","false","false","true","true","true","false","false","false","false","false","false","true","false","false","false","false","true","true","true","true","true","true","true"
"false","true","true","false","true","true","true","false","false","true","false","false","false","false","false","false","true","false","true","true","false","false","false","true","false","false","false","false","false","true","false","true","true","false","false","false","true","false","true","false","false","false","true","true","false","true","true","true","false","false","true","true","true","true","false","false","false","true","true","false","false","false","true","true","false","false","false","true","true","false","true","false","true","false","true","true","false","true","false","true","false","true","true","true","false","false","false","false","false","true","true","true","true","false"
"true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true"
"true","true","true","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false"
"true","false","false","true","true","false","false","true","true","false","false","false","false","true","true","false","false","true","true","true","true","false","false","false","false","true","true","true","true","false","false","false","false","true","true","true","true","false","false","false","false","true","true","true","true","false","false","false","false","true","true","true","true","false","false","false","false","true","true","true","true","false","false","false","false","true","true","true","true","false","false","false","false","true","true","true","true","false","false","false","false","true","true","true","true","false","false","false","false","true","true","true","true","false"
"true","false","false","false","false","true","true","false","false","true","true","true","true","false","false","true","true","false","false","false","false","true","true","true","true","false","false","false","false","true","true","true","true","false","false","false","false","true","true","true","true","false","false","false","false","true","true","true","true","false","false","false","false","true","true","true","true","false","false","false","false","true","true","true","true","false","false","false","false","true","true","true","true","false","false","false","false","true","true","true","true","false","false","false","false","true","true","true","true","false","false","false","false","true"
"false","true","false","true","true","true","false","false","false","false","true","false","false","false","true","true","true","true","false","false","false","false","true","true","false","true","false","true","true","false","true","false","true","true","false","true","true","true","false","false","true","false","true","true","false","false","false","true","true","false","false","false","true","false","false","true","false","true","false","false","false","true","true","true","true","false","true","true","true","false","false","false","false","true","false","false","false","true","true","true","true","false","true","true","true","false","false","false","false","true","false","true","true","true"
"false","true","false","false","false","false","true","true","true","true","false","true","true","true","false","false","false","false","true","true","true","true","false","false","true","false","true","false","false","true","false","true","false","false","true","false","false","false","true","true","false","true","false","false","true","true","true","false","false","true","true","true","false","true","true","false","true","false","true","true","true","false","false","false","false","true","false","false","false","true","true","true","true","false","true","true","true","false","false","false","false","true","false","false","false","true","true","true","true","false","true","false","false","false"
"false","false","false","true","false","false","false","false","true","true","true","false","true","true","true","true","false","false","false","false","true","true","true","false","false","false","false","true","false","false","false","true","true","true","true","false","true","true","true","false","false","false","false","true","true","false","true","true","false","true","false","false","false","true","false","false","false","false","true","true","false","true","true","false","true","true","false","true","true","false","true","true","false","true","true","false","false","false","false","false","true","true","true","false","false","true","true","false","true","true","false","true","true","false"
"false","false","false","false","true","true","true","true","false","false","false","true","false","false","false","false","true","true","true","true","false","false","false","true","true","true","true","false","true","true","true","false","false","false","false","true","false","false","false","true","true","true","true","false","false","true","false","false","true","false","true","true","true","false","true","true","true","true","false","false","true","false","false","true","false","false","true","false","false","true","false","false","true","false","false","true","true","true","true","true","false","false","false","true","true","false","false","true","false","false","true","false","false","true"
"false","false","false","true","false","true","true","true","true","false","true","false","false","true","false","true","true","true","true","false","true","true","false","true","false","false","true","false","false","false","false","false","true","true","false","false","false","false","true","true","true","false","true","false","true","true","false","true","false","true","false","false","true","false","true","true","false","false","true","false","true","true","false","true","false","true","true","false","false","false","true","false","false","true","false","true","false","false","false","false","true","false","true","true","false","true","false","true","true","false","false","false","true","true"
"false","true","false","false","false","true","false","false","true","true","false","false","false","false","true","true","false","true","true","true","false","false","true","false","true","false","true","true","true","true","true","true","false","true","false","false","true","true","true","false","false","true","false","false","false","false","true","false","true","false","true","true","false","true","false","true","true","true","false","true","false","false","true","false","true","false","true","false","true","true","false","true","false","false","true","false","true","false","false","true","true","true","true","true","true","false","false","true","false","false","false","false","false","false"
"true","false","true","false","false","true","true","true","true","true","false","false","false","false","false","false","true","false","true","false","false","false","true","true","false","true","false","true","false","false","false","true","true","true","true","true","true","true","true","true","false","true","false","false","false","true","false","false","true","false","true","true","true","false","false","false","false","false","true","false","true","false","true","true","false","true","true","true","false","false","false","true","true","true","false","false","true","false","false","false","false","true","true","false","true","true","true","true","true","true","false","false","true","true"
"true","false","false","false","true","true","false","true","true","true","true","true","false","true","true","true","true","false","true","true","true","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","true","true","true","false","true","true","true","true","false","false","true","true","false","false","false","false","true","true","true","true","true","true","false","true","false","false","false","false","false","true","true","true","false","true","true","false","false","false","false","true","false","true","true","true","true","true","false","false","true","true","false","true","true","true","true","false","true","false"
"true","false","false","false","true","false","true","true","false","true","false","true","true","false","true","true","false","true","false","false","false","true","true","false","true","false","true","false","false","false","false","false","true","true","false","true","true","false","false","true","false","true","true","true","true","false","true","false","true","false","false","true","false","false","false","false","false","false","false","false","true","true","false","false","true","true","true","true","false","true","false","true","false","true","true","true","false","true","false","false","true","false","true","true","false","false","true","false","false","false","true","false","false","true"
